RADIUS_PC,VELOCITY_KMS,DENSITY_CM3
0.01953125,0,1.9765461
0.05859375,0.039106448,1.977198
0.09765625,0.062034444,1.9793041
0.13671875,0.081204863,1.9822397
0.17578125,0.10174754,1.9859757
0.21484375,0.12287191,1.9905994
0.25390625,0.14457772,1.996141
0.29296875,0.16669734,2.0026183
0.33203125,0.18903604,2.0100469
0.37109375,0.21147388,2.0184451
0.41015625,0.2339114,2.0278335
0.44921875,0.25626526,2.0382365
0.48828125,0.27851873,2.0496831
0.52734375,0.30070647,2.0622074
0.56640625,0.32286785,2.0758474
0.60546875,0.34502524,2.0906436
0.64453125,0.36717801,2.1066397
0.68359375,0.38931022,2.1238826
0.72265625,0.41140547,2.1424234
0.76171875,0.43345511,2.1623178
0.80078125,0.45545616,2.1836266
0.83984375,0.47740248,2.2064154
0.87890625,0.49927916,2.2307545
0.91796875,0.52106263,2.2567199
0.95703125,0.54272358,2.2843926
0.99609375,0.56423006,2.3138597
1.0351562,0.58554904,2.3452145
1.0742187,0.60664563,2.3785567
1.1132812,0.62748146,2.4139921
1.1523437,0.64801306,2.4516332
1.1914062,0.66819062,2.4915988
1.2304687,0.68795804,2.5340137
1.2695312,0.70725271,2.5790086
1.3085937,0.72600536,2.6267193
1.3476562,0.74414005,2.6772863
1.3867187,0.76157394,2.7308533
1.4257812,0.77821703,2.7875663
1.4648437,0.79397231,2.8475711
1.5039062,0.8087362,2.9110116
1.5429687,0.82239964,2.9780265
1.5820312,0.8348495,3.0487463
1.6210937,0.84597055,3.123289
1.6601562,0.85564788,3.2017559
1.6992187,0.86376983,3.2842259
1.7382812,0.87023163,3.37075
1.7773438,0.87493969,3.4613454
1.8164062,0.87781649,3.5559888
1.8554687,0.87880582,3.6546109
1.8945312,0.87787814,3.75709
1.9335937,0.87503566,3.8632476
1.9726562,0.8703168,3.9728452
2.0117187,0.86379962,4.0855826
2.0507812,0.85560376,4.2010992
2.0898437,0.84589059,4.3189773
2.1289062,0.83486102,4.4387491
2.1679687,0.82275111,4.5599062
2.2070312,0.80982523,4.6819119
2.2460937,0.79636717,4.8042153
2.2851562,0.78266974,4.9262672
2.3242187,0.76902357,5.0475355
2.3632812,0.75570596,5.1675203
2.4023438,0.74297077,5.2857669
2.4414062,0.73103986,5.4018767
2.4804688,0.72009697,5.515514
2.5195312,0.71028401,5.6264104
2.5585937,0.70169993,5.734365
2.5976562,0.69440189,5.8392419
2.6367187,0.68840842,5.9409653
2.6757812,0.68370387,6.0395126
2.7148437,0.68024384,6.1349065
2.7539062,0.67796098,6.2272065
2.7929687,0.67677074,6.3165002
2.8320312,0.67657687,6.4028962
2.8710937,0.67727623,6.4865167
