RADIUS_PC,VELOCITY_KMS,DENSITY_CM3,TEMP_K
0.06953125,1183.4929,0.36827451,77148289
0.10859375,1581.8272,0.15931407,65267677
0.14765625,1820.2619,0.087766682,51767496
0.18671875,1978.3525,0.055287972,42386089
0.22578125,2090.168,0.037928622,35565798
0.26484375,2172.9733,0.027599834,30427193
0.30390625,2236.4705,0.020967559,26441526
0.34296875,2286.4777,0.016463079,23276975
0.38203125,2326.742,0.013266666,20714020
0.42109375,2359.7683,0.010917418,18602863
0.46015625,2387.2823,0.009140706,16838535
0.49921875,2410.5104,0.0077646998,15345526
0.53828125,2430.3461,0.0066774563,14068274
0.57734375,2447.4551,0.005803532,12965078
0.61640625,2462.3426,0.0050905886,12004093
0.65546875,2475.3988,0.0045013991,11160622
0.69453125,2486.929,0.0040089021,10415243
0.73359375,2497.1758,0.0035930451,9752498
0.77265625,2506.3338,0.0032387151,9159939
0.81171875,2514.5611,0.0029343477,8627443.6
0.85078125,2521.9869,0.0026709725,8146702.9
0.88984375,2528.7184,0.0024415453,7710838.3
0.92890625,2534.8447,0.0022404722,7314111.1
0.96796875,2540.4405,0.0020632659,6951699
1.0070312,2545.5691,0.0019062925,6619523.1
1.0460938,2550.2844,0.0017665846,6314111.4
1.0851562,2554.6323,0.0016416994,6032492
1.1242187,2558.6523,0.0015296113,5772107.6
1.1632812,2562.3787,0.0014286294,5530746.1
1.2023437,2565.8412,0.0013373329,5306485.7
1.2414062,2569.0657,0.0012545215,5097648.9
1.2804687,2572.0748,0.001179175,4902766
1.3195312,2574.8884,0.001110423,4720545.3
1.3585937,2577.5224,0.0010475226,4549856.2
1.3976562,2579.9793,0.00098986644,4389783.8
1.4367187,2582.1643,0.00093716523,4240346.2
1.4757812,2583.1845,0.00089068242,4110328.1
1.5148437,2576.0352,0.00085874488,4107639.1
1.5539062,2522.8626,0.00086893501,5269568.3
1.5929687,2331.607,0.00097006146,11926363
1.6320312,1968.8083,0.0011947405,27072634
1.6710937,1544.4119,0.0015214695,45054014
1.7101562,1175.9017,0.0018818652,59732284
1.7492187,911.20956,0.0021943076,69445827
1.7882812,744.04037,0.0024122364,75083860
1.8273437,645.33855,0.0025408234,78092312
1.8664062,586.07568,0.0026106756,79657545
1.9054687,546.79018,0.00264946,80517961
1.9445312,517.15285,0.0026735117,81054155
1.9835938,492.39276,0.0026906718,81439294
2.0226562,470.44985,0.0027043399,81746966
2.0617187,450.4341,0.0027159464,82008062
2.1007812,431.92828,0.0027261206,82236314
2.1398437,414.70246,0.0027351772,82438725
2.1789062,398.60415,0.0027433047,82619576
2.2179687,383.51709,0.0027506362,82781919
2.2570312,369.34547,0.0027572755,82928147
2.2960937,356.00735,0.002763308,83060226
2.3351562,343.43137,0.0027688056,83179812
2.3742187,331.55472,0.0027738298,83288312
2.4132812,320.32174,0.0027784333,83386936
2.4523437,309.68281,0.0027826622,83476727
2.4914062,299.59352,0.002786556,83558593
2.5304687,290.01391,0.0027901498,83633322
2.5695312,280.90793,0.0027934741,83701607
2.6085937,272.24293,0.0027965559,83764055
2.6476562,263.98923,0.002799419,83821201
2.6867187,256.11982,0.0028020846,83873519
2.7257812,248.60999,0.0028045717,83921426
2.7648437,241.43714,0.002806897,83965294
2.8039062,234.58052,0.0028090757,84005455
2.8429687,228.02103,0.0028111214,84042202
2.8820312,221.74109,0.0028130463,84075797
2.9210937,215.72446,0.0028148616,84106474
2.9601562,209.95612,0.0028165772,84134441
2.9992187,204.42214,0.0028182026,84159882
3.0382812,199.10962,0.002819746,84182962
3.0773437,194.00656,0.0028212152,84203828
3.1164062,189.10179,0.0028226175,84222606
3.1554688,184.38491,0.0028239594,84239410
3.1945312,179.84621,0.0028252472,84254336
3.2335937,175.47662,0.0028264868,84267469
3.2726562,171.26767,0.0028276837,84278879
3.3117187,167.21142,0.0028288432,84288622
3.3507812,163.30043,0.0028299705,84296746
3.3898437,159.52771,0.0028310705,84303284
3.4289062,155.88672,0.002832148,84308258
3.4679687,152.37129,0.0028332078,84311680
3.5070312,148.97562,0.0028342547,84313547
3.5460937,145.69426,0.0028352934,84313850
3.5851562,142.52207,0.0028363288,84312564
3.6242187,139.45418,0.0028373657,84309655
3.6632812,136.48603,0.0028384093,84305075
3.7023437,133.61328,0.0028394647,84298766
3.7414062,130.83184,0.0028405372,84290655
3.7804687,128.13785,0.0028416326,84280660
3.8195312,125.52765,0.0028427566,84268681
3.8585937,122.99775,0.0028439155,84254609
3.8976562,120.54487,0.0028451158,84238317
3.9367187,118.1659,0.0028463642,84219667
3.9757812,115.85786,0.0028476681,84198504
4.0148437,113.61795,0.0028490351,84174658
4.0539062,111.44349,0.0028504732,84147942
4.0929687,109.33194,0.0028519912,84118155
4.1320312,107.28089,0.0028535981,84085078
4.1710937,105.28803,0.0028553035,84048473
4.2101562,103.35116,0.0028571178,84008087
4.2492187,101.46821,0.0028590516,83963647
4.2882812,99.637182,0.0028611166,83914862
4.3273437,97.856173,0.0028633249,83861423
4.3664062,96.123373,0.0028656893,83803000
4.4054687,94.437052,0.0028682233,83739244
4.4445312,92.795558,0.0028709415,83669788
4.4835937,91.197312,0.0028738589,83594243
4.5226562,89.640804,0.0028769914,83512201
4.5617187,88.124591,0.002880356,83423234
4.6007812,86.647291,0.0028839704,83326894
4.6398437,85.207582,0.0028878532,83222713
4.6789062,83.804198,0.0028920242,83110205
4.7179687,82.435926,0.0028965039,82988863
4.7570312,81.101604,0.0029013141,82858161
4.7960937,79.800118,0.0029064776,82717557
4.8351562,78.530399,0.0029120182,82566489
4.8742187,77.291422,0.0029179611,82404379
4.9132812,76.082202,0.0029243326,82230635
4.9523437,74.901795,0.0029311602,82044647
4.9914062,73.749295,0.0029384727,81845793
5.0304687,72.623828,0.0029463006,81633439
5.0695312,71.524558,0.0029546755,81406939
5.1085937,70.45068,0.0029636305,81165638
5.1476562,69.401418,0.0029732004,80908873
5.1867187,68.376028,0.0029834216,80635977
5.2257812,67.373792,0.0029943323,80346277
5.2648437,66.394022,0.0030059723,80039100
5.3039062,65.436051,0.0030183835,79713772
5.3429687,64.499241,0.0030316097,79369625
5.3820312,63.582975,0.0030456966,79005995
5.4210937,62.686659,0.0030606926,78622227
5.4601562,61.809719,0.0030766481,78217679
5.4992187,60.951604,0.0030936159,77791721
5.5382812,60.111782,0.0031116517,77343742
5.5773437,59.289737,0.0031308139,76873153
5.6164062,58.484974,0.0031511638,76379387
5.6554687,57.697016,0.0031727659,75861908
5.6945312,56.925398,0.0031956881,75320207
5.7335937,56.169676,0.0032200019,74753812
5.7726562,55.429418,0.0032457827,74162289
5.8117187,54.704208,0.0032731097,73545246
5.8507812,53.993643,0.003302067,72902334
5.8898437,53.297333,0.0033327431,72233254
5.9289062,52.614904,0.0033652315,71537760
5.9679687,51.945989,0.0033996315,70815658
6.0070312,51.290239,0.0034360479,70066816
6.0460937,50.647312,0.0034745921,69291161
6.0851562,50.016878,0.003515382,68488685
6.1242187,49.398618,0.0035585432,67659447
6.1632812,48.792225,0.0036042091,66803575
6.2023437,48.197397,0.0036525214,65921269
6.2414062,47.613846,0.0037036315,65012801
6.2804687,47.041291,0.0037577007,64078521
6.3195312,46.47946,0.003814901,63118852
6.3585937,45.928089,0.0038754165,62134295
6.3976562,45.386923,0.0039394441,61125431
6.4367187,44.855714,0.0040071946,60092917
6.4757812,44.334221,0.004078894,59037488
6.5148437,43.822212,0.0041547849,57959955
6.5539062,43.31946,0.0042351281,56861209
6.5929687,42.825746,0.0043202039,55742210
6.6320312,42.340857,0.0044103144,54603997
6.6710937,41.864587,0.0045057852,53447674
6.7101562,41.396735,0.0046069678,52274417
6.7492187,40.937105,0.0047142422,51085464
6.7882812,40.485509,0.0048280194,49882115
6.8273437,40.041764,0.0049487448,48665728
6.8664062,39.605689,0.0050769015,47437714
6.9054687,39.177113,0.0052130143,46199531
6.9445312,38.755866,0.005357654,44952682
6.9835937,38.341784,0.0055114422,43698709
7.0226562,37.934709,0.0056750567,42439185
7.0617187,37.534484,0.0058492381,41175714
7.1007812,37.140961,0.0060347961,39909918
7.1398437,36.753991,0.0062326178,38643437
7.1789062,36.373433,0.0064436762,37377921
7.2179687,35.999148,0.0066690409,36115023
7.2570312,35.631001,0.0069098888,34856394
7.2960937,35.26886,0.0071675174,33603678
7.3351562,34.912599,0.00744336,32358501
7.3742187,34.562091,0.0077390024,31122474
7.4132812,34.217218,0.0080562023,29897179
7.4523437,33.877859,0.0083969122,28684168
7.4914062,33.543901,0.0087633052,27484954
7.5304687,33.215232,0.0091578049,26301013
7.5695312,32.891743,0.0095831203,25133769
7.6085937,32.573327,0.010042286,23984599
7.6476562,32.259881,0.010538711,22854823
7.6867187,31.951304,0.011076231,21745702
7.7257812,31.647498,0.011659176,20658436
7.7648437,31.348367,0.012292447,19594156
7.8039062,31.053818,0.012981606,18553929
7.8429687,30.76376,0.013732984,17538747
7.8820312,30.478103,0.014553809,16549531
7.9210937,30.196762,0.015452362,15587129
7.9601562,29.919652,0.016438161,14652311
7.9992187,29.64669,0.017522187,13745771
8.0382812,29.377797,0.018717153,12868128
8.0773437,29.112894,0.020037842,12019921
8.1164062,28.851904,0.021501512,11201614
8.1554687,28.594753,0.023128403,10413593
8.1945312,28.341367,0.024942363,9656169.2
8.2335937,28.091677,0.026971634,8929579.2
8.2726562,27.845613,0.029249836,8233985.4
8.3117187,27.603106,0.031817226,7569478.4
8.3507812,27.364092,0.034722293,6936078.5
8.3898437,27.128505,0.038023825,6333737.4
8.4289062,26.896282,0.04179359,5762340.2
8.4679687,26.667363,0.046119851,5221707.7
8.5070312,26.441686,0.051112036,4711597.7
8.5460937,26.219192,0.056906978,4231708.2
8.5851562,25.999823,0.063677388,3781678.6
8.6242187,25.783521,0.071643473,3361092.1
8.6632812,25.570229,0.081089104,2969477.6
8.7023437,25.359884,0.092384645,2606311.5
8.7414062,25.152423,0.1060197,2271018.9
8.7804687,24.947768,0.12265095,1962975
8.8195312,24.745824,0.14317333,1681505.9
8.8585938,24.546445,0.16882829,1425888.9
8.8976562,24.349393,0.20137227,1195351.9
8.9367187,24.154213,0.24334562,989072.65
8.9757812,23.959972,0.29851441,806176.36
9.0148437,23.764577,0.372618,645732.93
9.0539062,23.563033,0.47467482,506752.27
9.0929687,23.342647,0.61932883,388177.9
9.1320312,23.069711,0.83112973,288877.07
9.1710937,22.654551,1.1521216,207628.47
9.2101562,21.880224,1.6533389,143135.95
9.2492187,20.353023,2.443728,94188.546
9.2882812,17.739407,3.6523016,59957.908
9.3273437,14.310249,5.3484506,39216.631
9.3664062,10.917134,7.3944392,28412.765
9.4054687,8.2896475,9.3907977,23202.309
9.4445312,6.6119167,10.93309,20740.97
9.4835937,5.6845523,11.906334,19577.906
9.5226562,5.2181468,12.443985,19019.159
9.5617187,4.9940788,12.725866,18738.801
9.6007812,4.8869761,12.877388,18585.319
9.6398437,4.8341064,12.967032,18489.061
9.6789062,4.8059955,13.028352,18418.386
9.7179687,4.7891781,13.076999,18359.062
9.7570312,4.7775827,13.120106,18304.734
9.7960937,4.7684911,13.160889,18252.577
9.8351562,4.760691,13.200791,18201.338
9.8742187,4.7536431,13.240459,18150.459
9.9132812,4.7471068,13.280187,18099.691
9.9523437,4.7409745,13.320112,18048.918
9.9914062,4.7351968,13.360301,17998.083
10.030469,4.7297503,13.400793,17947.155
10.069531,4.7246232,13.441611,17896.115
10.108594,4.7198085,13.482776,17844.947
10.147656,4.7153017,13.524304,17793.636
10.186719,4.7110995,13.566212,17742.17
10.225781,4.7071989,13.608516,17690.535
10.264844,4.7035977,13.651236,17638.717
10.303906,4.7002935,13.694387,17586.704
10.342969,4.6972845,13.73799,17534.481
10.382031,4.694569,13.782063,17482.032
10.421094,4.6921454,13.826628,17429.344
10.460156,4.6900126,13.871705,17376.399
10.499219,4.6881693,13.917317,17323.182
10.538281,4.6866149,13.963487,17269.675
10.577344,4.6853487,14.01024,17215.862
10.616406,4.6843705,14.057602,17161.723
10.655469,4.6836801,14.1056,17107.239
10.694531,4.6832778,14.154263,17052.391
10.733594,4.683164,14.203621,16997.156
10.772656,4.6833396,14.253706,16941.514
10.811719,4.6838057,14.304552,16885.44
10.850781,4.6845636,14.356196,16828.911
10.889844,4.6856153,14.408674,16771.902
10.928906,4.686963,14.462029,16714.385
10.967969,4.6886091,14.516302,16656.331
11.007031,4.6905569,14.571539,16597.711
11.046094,4.6928098,14.62779,16538.494
11.085156,4.695372,14.685107,16478.645
11.124219,4.698248,14.743546,16418.128
11.163281,4.7014431,14.803168,16356.906
11.202344,4.7049633,14.864037,16294.937
11.241406,4.7088153,14.926222,16232.179
