RADIUS_PC,VELOCITY_KMS,DENSITY_CM3,TEMP_K
0.06953125,1183.4929,0.36827451,77151689
0.10859375,1581.8272,0.15931407,65267677
0.14765625,1820.2619,0.087766682,51767497
0.18671875,1978.3525,0.055287973,42386090
0.22578125,2090.168,0.037928622,35565798
0.26484375,2172.9733,0.027599834,30427193
0.30390625,2236.4705,0.020967559,26441525
0.34296875,2286.4776,0.016463079,23276975
0.38203125,2326.742,0.013266666,20714020
0.42109375,2359.7683,0.010917418,18602863
0.46015625,2387.2823,0.009140706,16838535
0.49921875,2410.5104,0.0077646997,15345526
0.53828125,2430.3461,0.0066774563,14068274
0.57734375,2447.4551,0.005803532,12965078
0.61640625,2462.3426,0.0050905886,12004093
0.65546875,2475.3988,0.0045013991,11160622
0.69453125,2486.929,0.0040089021,10415243
0.73359375,2497.1758,0.0035930451,9752498
0.77265625,2506.3338,0.0032387151,9159939
0.81171875,2514.5611,0.0029343477,8627443.6
0.85078125,2521.9869,0.0026709725,8146702.9
0.88984375,2528.7184,0.0024415453,7710838.3
0.92890625,2534.8447,0.0022404722,7314111.1
0.96796875,2540.4405,0.0020632658,6951699.1
1.0070312,2545.5692,0.0019062925,6619523.1
1.0460938,2550.2844,0.0017665846,6314111.4
1.0851562,2554.6323,0.0016416994,6032492.1
1.1242187,2558.6523,0.0015296115,5772107.9
1.1632812,2562.3785,0.0014286304,5530747.8
1.2023437,2565.8394,0.0013373399,5306498.4
1.2414062,2569.0518,0.0012545707,5097749.8
1.2804687,2571.9678,0.0011795171,4903622.7
1.3195312,2574.0521,0.0011126789,4728482.9
1.3585937,2571.0921,0.0010605073,4630800.2
1.3976562,2537.8326,0.0010480908,5203908.2
1.4367187,2395.0257,0.0011284703,9709133.2
1.4757812,2074.9049,0.001352036,22640063
1.5148437,1654.533,0.0017118009,40504254
1.5539062,1262.7998,0.0021385027,56365559
1.5929687,967.87874,0.0025331429,67377051
1.6320312,775.4772,0.0028241662,73969805
1.6710937,660.1011,0.0030025906,77553713
1.7101562,591.23698,0.0031008394,79421576
1.7492187,546.61065,0.0031547237,80430057
1.7882812,513.79939,0.0031871662,81039258
1.8273437,486.91341,0.0032095924,81463414
1.8664062,463.38317,0.0032270312,81794419
1.9054687,442.0992,0.0032416018,82070813
1.9445312,422.5458,0.003254229,82309576
1.9835938,404.4425,0.0032653682,82519238
2.0226562,387.60573,0.0032752876,82704923
2.0617187,371.89699,0.0032841734,82870233
2.1007812,357.20321,0.0032921693,83017957
2.1398437,343.42838,0.0032993919,83150361
2.1789062,330.48949,0.0033059388,83269332
2.2179687,318.31391,0.0033118926,83376461
2.2570312,306.83767,0.0033173236,83473102
2.2960937,296.00405,0.0033222925,83560414
2.3351562,285.76254,0.0033268516,83639394
2.3742187,276.06793,0.0033310465,83710901
2.4132812,266.87959,0.003334917,83775684
